mt_ssa,scm1_ssa,scm2_ssa,mt_pi,scm1_pi,scm2_pi,opc,mt,scm1,scm2,water,fa,ca,sp,age,strength
1589.0,1391.0,1206.0,81.41,91.9,46.98,336.0,28.0,28.0,28.0,184.8,740.0,1110.0,4.5,7.0,37.2
1589.0,1391.0,1206.0,81.41,91.9,46.98,336.0,28.0,28.0,28.0,184.8,740.0,1110.0,4.5,14.0,39.8
1589.0,1391.0,1206.0,81.41,91.9,46.98,336.0,28.0,28.0,28.0,184.8,740.0,1110.0,4.5,28.0,50.3
1589.0,1391.0,1206.0,81.41,91.9,46.98,294.0,42.0,42.0,42.0,184.8,740.0,1110.0,4.5,7.0,37.8
1589.0,1391.0,1206.0,81.41,91.9,46.98,294.0,42.0,42.0,42.0,184.8,740.0,1110.0,4.5,14.0,44.7
1589.0,1391.0,1206.0,81.41,91.9,46.98,294.0,42.0,42.0,42.0,184.8,740.0,1110.0,4.5,28.0,49.0
1589.0,1391.0,1206.0,81.41,91.9,46.98,252.0,56.0,56.0,56.0,184.8,740.0,1110.0,4.5,7.0,31.4
1589.0,1391.0,1206.0,81.41,91.9,46.98,252.0,56.0,56.0,56.0,184.8,740.0,1110.0,4.5,14.0,33.9
1589.0,1391.0,1206.0,81.41,91.9,46.98,252.0,56.0,56.0,56.0,184.8,740.0,1110.0,4.5,28.0,42.9
1589.0,1391.0,1206.0,81.41,91.9,46.98,294.0,42.0,42.0,42.0,176.4,740.0,1110.0,4.5,7.0,34.2
1589.0,1391.0,1206.0,81.41,91.9,46.98,294.0,42.0,42.0,42.0,176.4,740.0,1110.0,4.5,14.0,41.1
1589.0,1391.0,1206.0,81.41,91.9,46.98,294.0,42.0,42.0,42.0,176.4,740.0,1110.0,4.5,28.0,46.7
1589.0,1391.0,1206.0,81.41,91.9,46.98,294.0,42.0,42.0,42.0,193.2,740.0,1110.0,4.5,7.0,34.1
1589.0,1391.0,1206.0,81.41,91.9,46.98,294.0,42.0,42.0,42.0,193.2,740.0,1110.0,4.5,14.0,41.2
1589.0,1391.0,1206.0,81.41,91.9,46.98,294.0,42.0,42.0,42.0,193.2,740.0,1110.0,4.5,28.0,45.3
1290.0,1391.0,1206.0,81.41,91.9,46.98,294.0,42.0,42.0,42.0,184.8,740.0,1110.0,4.5,7.0,32.7
1290.0,1391.0,1206.0,81.41,91.9,46.98,294.0,42.0,42.0,42.0,184.8,740.0,1110.0,4.5,14.0,34.1
1290.0,1391.0,1206.0,81.41,91.9,46.98,294.0,42.0,42.0,42.0,184.8,740.0,1110.0,4.5,28.0,44.8
1312.0,1391.0,1206.0,81.41,91.9,46.98,294.0,42.0,42.0,42.0,184.8,740.0,1110.0,4.5,7.0,32.7
1312.0,1391.0,1206.0,81.41,91.9,46.98,294.0,42.0,42.0,42.0,184.8,740.0,1110.0,4.5,14.0,39.0
1312.0,1391.0,1206.0,81.41,91.9,46.98,294.0,42.0,42.0,42.0,184.8,740.0,1110.0,4.5,28.0,45.4
1589.0,0.0,0.0,81.41,0.0,0.0,294.0,126.0,0.0,0.0,184.8,740.0,1110.0,4.5,7.0,24.7
1589.0,0.0,0.0,81.41,0.0,0.0,294.0,126.0,0.0,0.0,184.8,740.0,1110.0,4.5,14.0,31.1
1589.0,0.0,0.0,81.41,0.0,0.0,294.0,126.0,0.0,0.0,184.8,740.0,1110.0,4.5,28.0,35.6
1589.0,1900.0,1020.0,81.41,87.29,45.27,294.0,63.0,63.0,0.0,184.8,740.0,1110.0,4.5,7.0,25.7
1589.0,1900.0,1020.0,81.41,87.29,45.27,294.0,63.0,63.0,0.0,184.8,740.0,1110.0,4.5,14.0,33.8
1589.0,1900.0,1020.0,81.41,87.29,45.27,294.0,63.0,63.0,0.0,184.8,740.0,1110.0,4.5,28.0,39.7
1589.0,1900.0,1020.0,81.41,87.29,45.27,294.0,63.0,0.0,63.0,184.8,740.0,1110.0,4.5,7.0,27.9
1589.0,1900.0,1020.0,81.41,87.29,45.27,294.0,63.0,0.0,63.0,184.8,740.0,1110.0,4.5,14.0,37.0
1589.0,1900.0,1020.0,81.41,87.29,45.27,294.0,63.0,0.0,63.0,184.8,740.0,1110.0,4.5,28.0,40.3
1589.0,1900.0,1020.0,81.41,87.29,45.27,294.0,63.0,31.5,31.5,184.8,740.0,1110.0,4.5,7.0,27.8
1589.0,1900.0,1020.0,81.41,87.29,45.27,294.0,63.0,31.5,31.5,184.8,740.0,1110.0,4.5,14.0,37.0
1589.0,1900.0,1020.0,81.41,87.29,45.27,294.0,63.0,31.5,31.5,184.8,740.0,1110.0,4.5,28.0,42.9
1589.0,1900.0,1020.0,81.41,87.29,45.27,294.0,42.0,42.0,42.0,184.8,740.0,1110.0,4.5,7.0,26.9
1589.0,1900.0,1020.0,81.41,87.29,45.27,294.0,42.0,42.0,42.0,184.8,740.0,1110.0,4.5,14.0,35.2
1589.0,1900.0,1020.0,81.41,87.29,45.27,294.0,42.0,42.0,42.0,184.8,740.0,1110.0,4.5,28.0,41.3
1589.0,1900.0,1020.0,81.41,87.29,45.27,294.0,20.2,52.9,52.9,184.8,740.0,1110.0,4.5,7.0,29.8
1589.0,1900.0,1020.0,81.41,87.29,45.27,294.0,20.2,52.9,52.9,184.8,740.0,1110.0,4.5,14.0,40.0
1589.0,1900.0,1020.0,81.41,87.29,45.27,294.0,20.2,52.9,52.9,184.8,740.0,1110.0,4.5,28.0,43.5
1589.0,1900.0,1020.0,81.41,87.29,45.27,294.0,42.0,55.9,28.1,184.8,740.0,1110.0,4.5,7.0,29.1
1589.0,1900.0,1020.0,81.41,87.29,45.27,294.0,42.0,55.9,28.1,184.8,740.0,1110.0,4.5,14.0,38.0
1589.0,1900.0,1020.0,81.41,87.29,45.27,294.0,42.0,55.9,28.1,184.8,740.0,1110.0,4.5,28.0,43.7
1589.0,1900.0,1020.0,81.41,87.29,45.27,294.0,42.0,28.1,55.9,184.8,740.0,1110.0,4.5,7.0,28.9
1589.0,1900.0,1020.0,81.41,87.29,45.27,294.0,42.0,28.1,55.9,184.8,740.0,1110.0,4.5,14.0,38.9
1589.0,1900.0,1020.0,81.41,87.29,45.27,294.0,42.0,28.1,55.9,184.8,740.0,1110.0,4.5,28.0,41.2
1589.0,1900.0,1020.0,81.41,87.29,45.27,294.0,42.0,50.4,33.6,184.8,740.0,1110.0,4.5,7.0,27.7
1589.0,1900.0,1020.0,81.41,87.29,45.27,294.0,42.0,50.4,33.6,184.8,740.0,1110.0,4.5,14.0,37.4
1589.0,1900.0,1020.0,81.41,87.29,45.27,294.0,42.0,50.4,33.6,184.8,740.0,1110.0,4.5,28.0,39.8
1589.0,1363.0,595.0,81.41,82.1,44.16,294.0,63.0,31.5,31.5,184.8,740.0,1110.0,4.5,7.0,26.4
1589.0,1363.0,595.0,81.41,82.1,44.16,294.0,63.0,31.5,31.5,184.8,740.0,1110.0,4.5,14.0,35.1
1589.0,1363.0,595.0,81.41,82.1,44.16,294.0,63.0,31.5,31.5,184.8,740.0,1110.0,4.5,28.0,38.6
1589.0,1363.0,595.0,81.41,82.1,44.16,294.0,42.0,42.0,42.0,184.8,740.0,1110.0,4.5,7.0,27.9
1589.0,1363.0,595.0,81.41,82.1,44.16,294.0,42.0,42.0,42.0,184.8,740.0,1110.0,4.5,14.0,40.4
1589.0,1363.0,595.0,81.41,82.1,44.16,294.0,42.0,42.0,42.0,184.8,740.0,1110.0,4.5,28.0,46.9
1290.0,1363.0,595.0,81.41,82.1,44.16,294.0,42.0,42.0,42.0,184.8,740.0,1110.0,4.5,7.0,27.6
1290.0,1363.0,595.0,81.41,82.1,44.16,294.0,42.0,42.0,42.0,184.8,740.0,1110.0,4.5,14.0,36.9
1290.0,1363.0,595.0,81.41,82.1,44.16,294.0,42.0,42.0,42.0,184.8,740.0,1110.0,4.5,28.0,44.9
1312.0,1363.0,595.0,81.41,82.1,44.16,294.0,42.0,42.0,42.0,184.8,740.0,1110.0,4.5,7.0,30.0
1312.0,1363.0,595.0,81.41,82.1,44.16,294.0,42.0,42.0,42.0,184.8,740.0,1110.0,4.5,14.0,39.0
1312.0,1363.0,595.0,81.41,82.1,44.16,294.0,42.0,42.0,42.0,184.8,740.0,1110.0,4.5,28.0,45.2
1589.0,1363.0,595.0,81.41,82.1,44.16,294.0,28.0,28.0,28.0,184.8,740.0,1110.0,4.5,7.0,36.4
1589.0,1363.0,595.0,81.41,82.1,44.16,294.0,28.0,28.0,28.0,184.8,740.0,1110.0,4.5,14.0,41.8
1589.0,1363.0,595.0,81.41,82.1,44.16,294.0,28.0,28.0,28.0,184.8,740.0,1110.0,4.5,28.0,52.0
1589.0,1363.0,595.0,81.41,82.1,44.16,294.0,56.0,56.0,56.0,184.8,740.0,1110.0,4.5,7.0,25.3
1589.0,1363.0,595.0,81.41,82.1,44.16,294.0,56.0,56.0,56.0,184.8,740.0,1110.0,4.5,14.0,35.9
1589.0,1363.0,595.0,81.41,82.1,44.16,294.0,56.0,56.0,56.0,184.8,740.0,1110.0,4.5,28.0,40.2
5600.0,0.0,0.0,82.82,0.0,0.0,410.2,175.8,0.0,0.0,293.0,1758.0,0.0,0.0,3.0,23.4
5600.0,0.0,0.0,82.82,0.0,0.0,410.2,175.8,0.0,0.0,293.0,1758.0,0.0,0.0,7.0,32.2
5600.0,0.0,0.0,82.82,0.0,0.0,410.2,175.8,0.0,0.0,293.0,1758.0,0.0,0.0,28.0,44.4
5600.0,0.0,0.0,82.82,0.0,0.0,410.2,175.8,0.0,0.0,293.0,1758.0,0.0,0.0,56.0,48.0
5600.0,0.0,4380.0,82.82,0.0,48.31,410.2,123.1,0.0,52.7,293.0,1758.0,0.0,0.0,3.0,25.6
5600.0,0.0,4380.0,82.82,0.0,48.31,410.2,123.1,0.0,52.7,293.0,1758.0,0.0,0.0,7.0,35.3
5600.0,0.0,4380.0,82.82,0.0,48.31,410.2,123.1,0.0,52.7,293.0,1758.0,0.0,0.0,28.0,45.9
5600.0,0.0,4380.0,82.82,0.0,48.31,410.2,123.1,0.0,52.7,293.0,1758.0,0.0,0.0,56.0,48.7
5600.0,0.0,4380.0,82.82,0.0,48.31,410.2,87.9,0.0,87.9,293.0,1758.0,0.0,0.0,3.0,25.5
5600.0,0.0,4380.0,82.82,0.0,48.31,410.2,87.9,0.0,87.9,293.0,1758.0,0.0,0.0,7.0,37.2
5600.0,0.0,4380.0,82.82,0.0,48.31,410.2,87.9,0.0,87.9,293.0,1758.0,0.0,0.0,28.0,48.6
5600.0,0.0,4380.0,82.82,0.0,48.31,410.2,87.9,0.0,87.9,293.0,1758.0,0.0,0.0,56.0,52.1
5600.0,0.0,4380.0,82.82,0.0,48.31,410.2,52.7,0.0,123.1,293.0,1758.0,0.0,0.0,3.0,25.2
5600.0,0.0,4380.0,82.82,0.0,48.31,410.2,52.7,0.0,123.1,293.0,1758.0,0.0,0.0,7.0,37.9
5600.0,0.0,4380.0,82.82,0.0,48.31,410.2,52.7,0.0,123.1,293.0,1758.0,0.0,0.0,28.0,47.6
5600.0,0.0,4380.0,82.82,0.0,48.31,410.2,52.7,0.0,123.1,293.0,1758.0,0.0,0.0,56.0,49.8
5600.0,0.0,4380.0,82.82,0.0,48.31,410.2,0.0,0.0,175.8,293.0,1758.0,0.0,0.0,3.0,24.6
5600.0,0.0,4380.0,82.82,0.0,48.31,410.2,0.0,0.0,175.8,293.0,1758.0,0.0,0.0,7.0,38.3
5600.0,0.0,4380.0,82.82,0.0,48.31,410.2,0.0,0.0,175.8,293.0,1758.0,0.0,0.0,28.0,47.4
5600.0,0.0,4380.0,82.82,0.0,48.31,410.2,0.0,0.0,175.8,293.0,1758.0,0.0,0.0,56.0,50.3
6000.0,0.0,4420.0,84.73,0.0,49.36,293.0,293.0,0.0,0.0,234.4,1758.0,0.0,3.52,3.0,19.0
6000.0,0.0,4420.0,84.73,0.0,49.36,293.0,293.0,0.0,0.0,234.4,1758.0,0.0,3.52,7.0,27.9
6000.0,0.0,4420.0,84.73,0.0,49.36,293.0,293.0,0.0,0.0,234.4,1758.0,0.0,3.52,28.0,31.1
6000.0,0.0,4420.0,84.73,0.0,49.36,293.0,293.0,0.0,0.0,234.4,1758.0,0.0,3.52,90.0,31.9
6000.0,0.0,4420.0,84.73,0.0,49.36,293.0,205.1,0.0,87.9,234.4,1758.0,0.0,3.52,3.0,19.8
6000.0,0.0,4420.0,84.73,0.0,49.36,293.0,205.1,0.0,87.9,234.4,1758.0,0.0,3.52,7.0,31.1
6000.0,0.0,4420.0,84.73,0.0,49.36,293.0,205.1,0.0,87.9,234.4,1758.0,0.0,3.52,28.0,37.6
6000.0,0.0,4420.0,84.73,0.0,49.36,293.0,205.1,0.0,87.9,234.4,1758.0,0.0,3.52,90.0,40.8
